lat,lng
16.2390,-15.8400
-16.5000,27.0000
33.0000,66.0000
34.5620,69.2940
34.5280,69.1720
-4.0000,18.0000
-6.1380,24.4820
-4.7340,24.4390
-5.3880,25.7490
-0.5080,24.2290
-1.9280,18.2880
1.1480,23.1100
1.3620,29.0360
-5.8490,23.5540
-4.8520,21.5600
1.5440,25.3280
1.0070,27.1610
-3.4910,21.3770
-3.4200,19.4330
-4.9750,23.4440
-5.5490,23.1110
18.8330,-90.2500
20.7500,-88.8330
20.3330,-103.6670
19.6670,-88.2500
17.0000,-96.5000
-12.2500,44.4170
-11.5860,43.3330
-12.3240,43.7440
5.0000,-59.0000
11.7850,42.8840
16.3910,-89.0580
16.6370,-88.8000
18.0780,-88.3990
16.8630,-88.7000
17.7000,-88.5450
17.0320,-89.0630
-46.5000,-73.5000
-30.7500,-71.0000
-38.5000,-72.0000
-34.5000,-71.0000
-18.5730,-69.4610
13.8120,-5.8700
13.6000,-5.9000
14.7000,-3.4000
13.8000,-7.5000
11.3000,-6.2000
-7.6890,110.8130
0.0000,102.0000
-7.4920,110.0040
-49.0000,-70.0000
-34.0000,-64.0000
-44.0000,-68.0000
-44.0000,-69.0000
-26.3330,-60.5000
-34.6130,-58.3770
-47.9110,-65.7170
-28.0000,-63.5000
-24.3330,-61.5000
-25.0000,-60.0000
-45.8640,-67.4970
-44.7970,-65.7100
-45.9270,-67.5320
-47.7500,-65.8940
-25.3690,-57.6520
-46.4390,-67.5280
12.1170,-61.6670
13.8830,-60.9670
13.0830,-61.2000
17.3330,-62.7500
15.5000,-61.3330
-7.7390,112.5100
-3.2380,130.1450
-4.3330,120.2500
-8.5000,115.0000
-4.7500,138.0000
-8.6570,121.0790
3.3600,116.5320
-1.0000,100.5000
-16.5000,49.5000
-13.5000,49.0000
-17.6000,44.8000
-24.7500,45.5000
-23.2000,47.4000
30.6670,-7.5000
31.5000,-8.3330
14.1670,109.0000
20.0670,105.3330
9.0830,105.0830
9.5500,105.9170
19.2500,104.9170
12.3330,109.0000
18.3330,105.7500
13.1670,109.0830
-20.5000,-55.0000
-10.5000,-48.0000
-13.0000,-56.0000
-5.0000,-45.0000
-18.0000,-44.0000
-12.0000,-42.0000
-7.2500,-42.3330
-15.5810,-49.6360
-24.5000,-51.3330
-15.7500,-47.7500
-22.0000,-49.0000
30.0630,31.2500
-16.7500,35.1670
-15.4300,35.4180
-15.4510,34.7000
-15.0480,35.0590
-14.9460,35.5740
-15.7530,35.2160
-16.1060,35.1510
-15.6470,34.9400
-16.1670,34.7500
-14.7500,34.7500
-14.3930,35.3470
-9.4330,159.9500
13.8570,2.0140
13.7160,13.3780
14.3330,2.0830
16.0000,13.5000
13.2000,3.6000
13.5140,2.1100
13.0170,1.8830
11.1730,169.5860
11.3330,166.8330
9.1250,169.9920
11.5000,162.2500
8.0000,168.1670
10.0790,169.5240
6.9240,158.1620
6.0000,169.5830
11.5840,165.3760
8.9330,166.2330
10.1000,165.9830
10.2860,169.9220
8.1870,171.1400
-8.5170,179.1450
6.1330,171.9170
14.6170,168.9670
11.1330,166.4000
9.8170,160.9170
7.1500,171.2000
8.3140,167.3800
7.7510,168.9770
11.3500,167.4330
7.1130,171.2360
12.2510,170.1030
-8.0000,159.0000
9.8830,169.1500
7.0610,171.7850
9.1820,167.3080
7.3830,168.7670
5.6000,168.1170
4.6330,168.7170
9.5130,170.0230
11.2690,169.8100
10.2780,170.8690
9.0800,165.6280
5.6460,169.1270
8.7500,171.0500
43.3430,17.8080
42.9620,17.1370
44.1200,15.2420
17.9670,-76.8000
17.5000,105.3330
20.2500,102.6670
20.8240,104.0040
20.5000,104.0000
19.4670,103.5000
17.8720,105.2900
19.7950,103.9440
-6.1780,106.6300
-7.0110,110.4110
-6.2150,106.8450
-4.3330,120.2500
-7.7500,110.5000
-7.9800,112.6300
-7.2490,112.7510
-6.2350,106.9900
-6.7500,107.5000
-6.1640,106.3560
3.5830,98.6670
10.0000,124.4670
10.2030,124.1800
10.0670,124.1500
12.6170,121.4500
9.9170,123.9670
9.9330,124.0330
12.9500,123.8330
13.8670,121.9830
13.2330,123.5500
10.4830,122.5670
12.9830,123.5670
13.9500,121.5000
13.8000,122.0670
11.1670,125.4670
10.1370,124.3780
10.7500,122.5500
10.1170,124.2830
9.8000,123.8330
11.0170,125.7500
10.0670,124.3330
10.8000,122.6000
10.1330,124.1830
11.2330,125.5000
13.5330,122.4330
10.6000,122.6170
12.9830,123.9830
11.1670,125.6170
9.8830,123.8830
11.3330,125.5830
11.1330,125.4670
13.3170,122.5500
11.7840,124.8780
13.9830,121.7330
10.7330,122.4670
9.6670,124.2830
12.6330,123.6170
10.7410,123.4620
10.0170,124.0830
18.3170,121.2670
13.9330,121.6170
10.3030,122.9340
12.5500,123.7000
12.8170,123.9000
10.7000,122.6830
13.8920,121.9170
13.7830,122.1670
13.7000,122.2170
13.0670,123.4500
13.6330,122.3170
12.6670,123.9330
8.0000,-5.5000
11.5600,43.0600
11.2000,42.9400
12.0000,42.5000
-8.5170,179.1310
-8.5170,179.1450
-8.5240,179.1940
8.1670,49.0000
2.0370,45.3440
10.0000,44.5000
6.5000,-9.5000
47.0000,28.8330
42.5000,19.3330
48.2080,16.3720
44.0000,17.5830
44.8040,20.4650
45.8130,15.9770
42.0050,21.4290
44.9330,17.1830
42.6670,23.3830
50.4430,30.5490
42.7000,21.2830
41.2670,19.7830
44.5000,26.0830
11.8330,42.5000
1.3930,31.1100
1.0070,30.3590
1.8060,34.9280
2.5100,31.8840
-0.1290,31.6250
0.2000,31.7500
1.4870,33.4520
3.5000,31.0000
3.4060,33.3360
3.2510,30.9250
1.9070,34.5960
0.3350,32.5830
1.1240,31.6460
2.3820,34.1680
2.4670,31.2630
-0.2500,30.9170
-0.0080,31.3550
2.7500,33.7500
0.1380,32.2180
1.5690,31.7430
0.4320,32.0670
-1.2070,29.6810
0.2690,33.5610
0.3000,32.7750
3.3780,31.7910
3.5500,32.7510
0.4290,31.0110
1.0780,33.4880
0.3010,33.0520
1.3890,32.4160
3.0000,32.0000
1.5000,33.9500
-0.2410,31.1930
0.6550,30.2880
-0.4910,30.1830
1.1570,34.3140
0.5000,31.5000
0.6930,34.1810
0.9500,33.1170
2.5200,30.8880
1.3670,34.1330
-0.4260,31.4510
3.5830,34.0000
1.9220,34.0480
1.0520,33.9920
0.8830,34.3330
3.0000,34.1000
-0.5750,32.3810
3.6500,31.7200
2.9560,32.8000
2.0160,32.0700
1.0820,34.1750
1.1450,33.7090
0.2780,33.8090
2.3810,32.5010
3.5240,31.2820
-0.8340,30.8720
1.9640,31.3940
1.0000,32.8670
-1.2080,29.9860
-0.7580,31.5100
2.6390,34.6440
2.7750,32.2990
2.2500,32.9000
2.2970,32.7440
2.0830,33.6670
-0.2540,29.9890
0.5330,33.7900
1.3770,34.5750
0.6670,30.0500
0.1210,30.0080
1.3330,34.4200
0.2380,32.4780
-0.3670,33.2010
1.0410,32.1900
-0.6260,30.0100
-0.0810,30.5560
0.6570,30.6600
1.0500,34.4000
0.0730,32.1990
0.5110,33.3150
2.9200,33.3530
-0.5000,30.6000
-0.6910,29.8780
0.4180,34.0040
-0.3290,30.3250
-0.9370,30.3050
0.2160,30.4410
1.9360,33.0610
-0.3670,31.7000
0.7000,33.5330
-0.6260,30.3300
2.4840,33.3420
1.9760,32.5390
1.7150,33.6110
0.8500,31.9330
1.2660,33.1430
1.0500,33.8090
1.2710,34.6680
0.8330,32.4990
3.0200,30.9110
-0.1630,31.7970
-0.7500,29.7300
0.8670,33.6670
0.8240,33.3330
0.8910,33.9450
2.2690,33.2420
1.6330,32.8330
0.9300,31.0330
1.4820,33.7580
1.3210,34.2810
-3.1660,151.6940
-9.0000,148.5000
-10.5530,150.3150
-3.5000,142.0000
-6.5000,143.5830
-6.5000,145.5830
-6.0000,155.0000
-4.0000,143.7500
-6.2500,144.8330
-4.6130,151.8880
-10.0000,148.0000
-5.8780,149.8260
-9.4170,147.1670
-5.0000,145.5000
-5.9020,144.6730
-5.7500,144.2500
-7.7590,147.5930
-5.5000,143.5000
-1.3100,143.5810
-6.2980,142.8440
-7.7250,145.0850
12.3660,-1.5340
18.0000,-2.0000
10.5170,-9.7000
14.6170,-4.5000
11.8870,3.3750
15.0000,19.0000
16.9720,-0.5510
8.0000,-5.5000
9.8670,4.6000
13.8600,-3.3330
6.0000,12.5000
13.5140,2.1100
9.1330,4.8330
10.0000,8.0000
14.5900,1.0830
11.2280,-7.6030
14.0810,-5.6100
12.5000,-1.6670
12.6500,-8.0170
12.6610,-7.9170
18.0000,9.0000
10.8330,-10.6670
9.5000,2.2500
-1.5830,9.5830
-1.6330,11.1670
-0.4170,10.5830
14.6000,33.3500
17.1670,34.6670
13.5000,32.4000
15.5570,35.0400
15.9000,35.6500
42.3790,72.4770
41.4440,73.9550
41.5000,75.0000
42.6180,71.6940
40.6260,72.3650
20.7170,-16.1670
20.9330,-17.0300
25.2340,-11.5710
18.0860,-15.9790
20.2500,-10.5000
20.9170,-17.0330
28.0000,84.0000
31.5040,34.4360
31.7560,35.2610
31.7110,35.2010
31.6670,35.2500
31.4170,34.3330
32.3890,35.3240
31.5290,35.0940
31.9000,35.2040
31.9590,35.1810
31.5150,34.4360
32.2200,35.2440
-13.6670,-172.2500
-13.5330,-172.7330
-13.5000,-172.5000
-13.8830,-171.9670
-13.9500,-171.6330
-13.9170,-171.8000
-13.7000,-172.4670
-13.6330,-172.6330
-13.9500,-171.5330
27.2500,80.7500
20.5000,84.4170
21.5000,82.0000
11.0000,78.3330
23.7500,85.5000
23.0000,71.7500
27.0600,93.3700
24.0000,92.0000
26.0000,93.0000
23.5000,78.5000
25.7500,85.7500
23.0000,93.0000
25.0000,94.0000
27.7500,88.5000
15.8330,79.7500
24.0000,88.0000
26.5830,73.8330
14.6670,75.8330
17.2500,-88.7500
36.0000,109.0000
27.6670,111.7500
39.9170,116.3970
27.0000,107.0000
31.6670,35.2500
32.0250,35.4450
32.4600,35.3000
31.4170,34.3330
31.7050,35.2040
32.2210,35.2540
31.9000,35.2040
31.5290,35.0940
26.9200,89.6220
26.9790,90.0290
27.0000,89.5500
27.3330,89.1830
27.1000,89.8670
27.1670,89.0830
27.0330,89.0830
27.0330,89.4000
27.0330,90.4170
-4.3580,15.2400
-6.7000,24.1310
-5.7100,13.5840
3.2570,19.7720
-10.4950,25.6350
-2.4910,28.8430
2.7740,27.6160
-6.1080,21.3090
-5.6100,14.2710
1.5590,30.2520
-5.5500,13.4070
-11.7220,27.5170
-0.0940,18.2780
-6.1500,23.6000
-1.9280,18.2880
-2.9500,25.9330
-6.1080,23.0450
-3.3170,17.3670
-11.1340,27.5400
-7.3600,22.1850
3.7770,26.8600
-5.3330,14.3330
-5.4900,13.6300
-1.6830,29.2330
-0.6690,19.4720
-4.3750,15.9700
-14.2300,31.7100
-12.5360,32.2550
-14.1260,31.4050
-14.0410,32.0430
-14.3460,30.5970
-14.0060,32.9030
-13.6030,32.4970
-13.1260,31.6060
-13.3420,31.9290
-14.0970,32.4870
25.8000,32.7500
30.3000,31.2500
30.9000,31.0000
29.0000,33.8000
29.9980,31.0530
30.6000,32.4000
27.2000,31.1000
24.8000,28.9000
30.5350,31.7170
30.6000,30.2000
26.5570,31.6950
30.5000,33.7000
28.9000,30.6000
27.1860,33.7880
28.1100,30.7500
31.2570,32.2840
30.5000,31.0000
29.7000,32.3000
31.3000,30.9000
25.7000,32.6500
31.1000,31.6000
29.3000,30.5000
31.4160,31.8130
23.3000,32.9000
30.0630,31.2500
29.7000,27.5000
31.0000,29.7500
11.1550,-16.0090
12.0000,-16.1670
11.3000,-15.0000
11.6670,-15.0830
12.1670,-14.1670
12.2500,-15.2500
11.8540,-15.5910
12.1670,-14.7170
11.8830,-15.8430
31.7050,35.2040
31.5290,35.0940
13.2000,-61.2330
13.2670,-61.1500
12.0500,-61.6670
13.3000,-61.2000
12.2000,-61.6330
13.0830,-61.2000
12.1170,-61.6500
12.0500,-61.7330
13.2330,-61.2330
12.1170,-61.6670
12.4850,-61.4360
13.1670,-61.2000
12.8330,-61.2500
12.1330,-61.7170
12.1830,-61.6830
13.8000,-7.5000
-16.0000,167.0000
-6.0000,147.0000
-18.0000,178.0000
-8.0000,159.0000
7.1130,171.2360
8.1000,-1.2000
5.7590,-0.2250
31.6670,35.2500
31.4170,34.3330
39.3330,46.2500
6.4410,7.4990
6.3300,7.4080
7.2690,7.4130
6.5220,8.1300
4.4720,7.5930
6.2500,8.0000
6.1940,8.6070
43.5960,18.7830
43.6550,18.8000
44.2500,17.8330
44.8380,19.4810
43.7310,19.2050
42.5620,19.8340
44.1070,19.2970
44.8220,20.4450
42.7500,19.2500
44.7590,19.2140
43.6620,19.0250
44.7670,19.5000
42.7340,19.7920
43.3840,18.3780
43.8000,18.6240
43.3900,19.6490
43.3460,17.9880
44.6730,18.3310
44.1540,17.8100
43.1450,21.3050
43.6660,19.3510
43.6680,18.9760
44.7470,19.6900
43.3840,19.6410
44.7850,19.3710
44.8190,20.4600
44.3860,19.1020
42.1200,19.2800
42.7730,18.9440
42.3030,19.1980
44.2270,18.6930
43.4500,19.2070
44.1210,17.3850
44.5310,19.2430
43.5160,18.7500
42.7610,19.5530
44.8450,18.0150
42.3170,19.1590
44.5380,18.6670
44.8910,19.3560
43.2540,18.9060
